2013-01-07 20:40:35 status unpacked libnih1 1.0.3-4ubuntu9
2013-01-07 20:40:35 install libpciaccess0 <none> 0.12.902-1
2013-01-07 20:40:35 status half-installed libpciaccess0 0.12.902-1
2013-01-07 20:40:35 status unpacked libpciaccess0 0.12.902-1
2013-01-07 20:40:35 status unpacked libpciaccess0 0.12.902-1
2013-01-07 20:40:35 install libpng12-0 <none> 1.2.46-3ubuntu4
2013-01-07 20:40:35 status half-installed libpng12-0 1.2.46-3ubuntu4
2013-01-07 20:40:35 status unpacked libpng12-0 1.2.46-3ubuntu4
2013-01-07 20:40:35 status unpacked libpng12-0 1.2.46-3ubuntu4
2013-01-07 20:40:35 install libselinux1 <none> 2.1.0-4.1ubuntu1
2013-01-07 20:40:35 status half-installed libselinux1 2.1.0-4.1ubuntu1
2013-01-07 20:40:36 status unpacked libselinux1 2.1.0-4.1ubuntu1
2013-01-07 20:40:36 status unpacked libselinux1 2.1.0-4.1ubuntu1
2013-01-07 20:40:36 install libncurses5 <none> 5.9-4
2013-01-07 20:40:36 status half-installed libncurses5 5.9-4
2013-01-07 20:40:36 status unpacked libncurses5 5.9-4
2013-01-07 20:40:36 status unpacked libncurses5 5.9-4
2013-01-07 20:40:36 install libncursesw5 <none> 5.9-4
2013-01-07 20:40:36 status half-installed libncursesw5 5.9-4
2013-01-07 20:40:36 status unpacked libncursesw5 5.9-4
2013-01-07 20:40:36 status unpacked libncursesw5 5.9-4
2013-01-07 20:40:36 install libtinfo5 <none> 5.9-4
2013-01-07 20:40:36 status half-installed libtinfo5 5.9-4
2013-01-07 20:40:36 status unpacked libtinfo5 5.9-4
2013-01-07 20:40:36 status unpacked libtinfo5 5.9-4
2013-01-07 20:40:36 install libssl1.0.0 <none> 1.0.1-4ubuntu3
2013-01-07 20:40:36 status half-installed libssl1.0.0 1.0.1-4ubuntu3
2013-01-07 20:40:36 status unpacked libssl1.0.0 1.0.1-4ubuntu3
2013-01-07 20:40:36 status unpacked libssl1.0.0 1.0.1-4ubuntu3
2013-01-07 20:40:36 install libpam-modules-bin <none> 1.1.3-7ubuntu2
2013-01-07 20:40:36 status half-installed libpam-modules-bin 1.1.3-7ubuntu2
2013-01-07 20:40:36 status unpacked libpam-modules-bin 1.1.3-7ubuntu2
2013-01-07 20:40:36 status unpacked libpam-modules-bin 1.1.3-7ubuntu2
2013-01-07 20:40:36 install libpam-modules <none> 1.1.3-7ubuntu2
2013-01-07 20:40:36 status half-installed libpam-modules 1.1.3-7ubuntu2
2013-01-07 20:40:36 status unpacked libpam-modules 1.1.3-7ubuntu2
2013-01-07 20:40:36 status unpacked libpam-modules 1.1.3-7ubuntu2
2013-01-07 20:40:36 install libpam-runtime <none> 1.1.3-7ubuntu2
2013-01-07 20:40:36 status half-installed libpam-runtime 1.1.3-7ubuntu2
2013-01-07 20:40:36 status unpacked libpam-runtime 1.1.3-7ubuntu2
2013-01-07 20:40:36 status unpacked libpam-runtime 1.1.3-7ubuntu2
2013-01-07 20:40:36 install libpam0g <none> 1.1.3-7ubuntu2
2013-01-07 20:40:36 status half-installed libpam0g 1.1.3-7ubuntu2
2013-01-07 20:40:36 status unpacked libpam0g 1.1.3-7ubuntu2
2013-01-07 20:40:36 status unpacked libpam0g 1.1.3-7ubuntu2
2013-01-07 20:40:37 install libpcre3 <none> 8.12-4
2013-01-07 20:40:37 status half-installed libpcre3 8.12-4
2013-01-07 20:40:37 status unpacked libpcre3 8.12-4
2013-01-07 20:40:37 status unpacked libpcre3 8.12-4
2013-01-07 20:40:37 install libplymouth2 <none> 0.8.2-2ubuntu30
2013-01-07 20:40:37 status half-installed libplymouth2 0.8.2-2ubuntu30
2013-01-07 20:40:37 status unpacked libplymouth2 0.8.2-2ubuntu30
2013-01-07 20:40:37 status unpacked libplymouth2 0.8.2-2ubuntu30
2013-01-07 20:40:37 install libslang2 <none> 2.2.4-3ubuntu1
2013-01-07 20:40:37 status half-installed libslang2 2.2.4-3ubuntu1
2013-01-07 20:40:37 status unpacked libslang2 2.2.4-3ubuntu1
2013-01-07 20:40:37 status unpacked libslang2 2.2.4-3ubuntu1
2013-01-07 20:40:37 install initscripts <none> 2.88dsf-13.10ubuntu11
2013-01-07 20:40:37 status half-installed initscripts 2.88dsf-13.10ubuntu11
2013-01-07 20:40:37 status unpacked initscripts 2.88dsf-13.10ubuntu11
2013-01-07 20:40:37 status unpacked initscripts 2.88dsf-13.10ubuntu11
2013-01-07 20:40:37 install libudev0 <none> 175-0ubuntu9
2013-01-07 20:40:37 status half-installed libudev0 175-0ubuntu9
2013-01-07 20:40:37 status unpacked libudev0 175-0ubuntu9
2013-01-07 20:40:37 status unpacked libudev0 175-0ubuntu9
2013-01-07 20:40:37 install bsdutils <none> 1:2.20.1-1ubuntu3
2013-01-07 20:40:37 status half-installed bsdutils 1:2.20.1-1ubuntu3
2013-01-07 20:40:37 status unpacked bsdutils 1:2.20.1-1ubuntu3
